url,title,price,short_description,full_description
http://www.amazon.com/Feit-73991-4-Feet-Light-48-Inch/dp/B00MJUCU2A,"Feit 73991 2 Lamp 4-Feet LED Shop Light, 48-Inch, 4100K",$65.88," Ultra Light Weight Design includes 5ft plug-in cord and a 6 inch hanging wire harness
 Lasts 45 years/50,000 Hours
 3700 Lumens
 No Lamps to replace and no humming","This fully assembled, dual 4ft LED shop light requires no lamps to replace and lasts up to 50,000 hours. Perfect for hanging or flush mount installation."
http://www.amazon.com/White-4-foot-2-light-Ceiling-Fixture/dp/B00N37HZRS,White 4-foot 2-light Ceiling Light Fixture with 2x LED T8 24 Watt Tubes,$84.95," 4 FT WRAPAROUND LED FIXTURE
 6000 LUMENS
 HARDWIRED
 6500K
 NO BALLAST TO EVER REPLACE!!!","This is a 4 ft wraparound ceiling fixture with a set of 2 LED T8 24 Watt Bulbs included (48W Total). These LEDs are 30% brighter than the standard 18 Watt LED bulbs. The fixture uses a clear, prismatic acrylic lens with white steel end plates to provide widespread illumination. These bulbs work as an Eco-friendly and cost efficient replacement for FOUR 32 - 48 Watt (128w to 192w Total) Fluorescent T8 bulbs. This fixture requires no modifications at all. All of the necessary conversions have been completed."
http://www.amazon.com/Lithonia-Lighting-1242ZG-RE-Fluorescent/dp/B00FY2QD96,"Lithonia Lighting 1242ZG RE 2-Light T8 Strip Fluorescent All Season Shop Light, 4-Feet",$21.97," This attractive shoplight with textured finish is for chain mounting only
 Starts reliably down to 0Degree (-18Degree C)
 Fully assembled, ready-to-install
 Comes with 5' power cord - no wiring required
 Easy on/off power switch with beaded chain","The all weather shoplight provides general illumination in residential and light commercial applications and it is ideal for use in workshops, utility rooms and garages. Starts reliably down to 0Degree (-18Degree C). Comes with 5' power cord - no wiring required."
http://www.amazon.com/White-Hanging-2-light-Ceiling-Fixture/dp/B00TXNIJJO,"White 48 Watt Hanging Shop Light 4 ft. 2-light Ceiling Light Fixture with Pull Chain - 6,000 Lumens - 2x 24W LED T8 Tubes - Replacement for (4) 32W Fluorescent Bulbs - 6500k - 30% Brighter Than 18W LED Bulbs",$79.95," 48 WATT FIXTURE - 6500K
 6,000 LUMENS
 INCLUDES HANGING CHAINS AND HOOKS
 No Ballast to Replace",
http://www.amazon.com/Integrated-Clear-utility-garage-basement/dp/B00RR5HDPG,2x 4ft Integrated 20w Clear LED tube utility shop light garage basement with link and Power cable,$69.99," Color Temp 6000k
 clear 4ft Length include link cable and integrated AC input wire with ON/Off switch
 input voltage 100v-265v
 Easy installation with 2 clips","These LED tube light are a great energy efficient way to light up your basement, workshop , garage or any where that you need light. It's easy to install with simple plug-in."
http://www.amazon.com/Newest-Technology-White-Lumens-Bright/dp/B019QTB20M,Newest Technology DKC 9w LED Bulb E26 Cool White 6000k 900+ Lumens Super Bright!,$7.75," One of the highest qualityLED bulbs available  - hard plastic globe, sturdy aluminum base
 Extremely Bright!! - 900+ Lumens, Cool White Color - 6000-6500K  - NOT DIMMABLE
 Life Span:  More than 30000 hours
 Ships from US Vendor","This isn't your average LED bulb! The New DKC 9w LED is in a class above the typical LED. It's new super efficient IC style chip board produces an energy efficient 100 lumens per watt! That is unheard of in older technology LED bulbs. This bulb features a strong aluminum base, and a sturdy, ridged plastic dome. 
 You can feel the quality holding it in your hand! 

Undeniable Energy Savings!
 At typical, modern, incandescent bulb uses about 46 watts of energy to produce 700 lumens. Switch to the New DKC LED and you'll only use 9-10 watts for 900 lumens! That's an 80% savings! You can't afford NOT to switch to LED! 

Built to last These robust bulbs are rated to last 30,000 hours! Compare that to an incandescent bulb that typically lasts 1,000. That is a 97% improvement! 


Features:
 Color: Cold white/warm whiteWorking Lifetime(Hour): 30000Working 
Temperature(℃): -40 - +55 
Light projection angle from bulb: 270° 
Environmental protection: Mercury free 
Size: E26 size base, typical US size bulb base 
Extra advantages: No flashing, energy saving 
Heat dissipation: Heat conductivity is 2.5, 1 more than similar products"
http://www.amazon.com/Grey-Light-Shop-Fixture-Chain/dp/B00Q5236OY,Grey 96W 4 Ft. 4 Light Shop Light Plug In T8 Fixture with Pull Chain - 4X 24W Cool Lighting LED Tubes- 6500K,$144.99," 3000 Lumen Per Bulb (12000 Total)
 6500 Kelvin
 Assembly Required
 No Ballast To Replace","This is a high bay ceiling fixture with 4 LED T8 24 Watt Bulbs included (96w Total). These LEDs are 30% brighter than the standard 18 Watt LED bulbs. This fixture is ideal for garages, utility and work areas requiring additional task lighting. Chains and hooks are included for hanging. These bulbs work as an Eco-friendly and cost efficient replacement for (8) 30 - 40 Watt (240w - 320w Total) Fluorescent T8 bulbs. This fixture requires no modifications at all. All of the necessary conversions have been completed. Assembly required."
http://www.amazon.com/Bulb-Warehouse-Commercial-Light-Fixture/dp/B013Q0YA5G,"6 Bulb / Lamp T8 LED High Bay Warehouse, Shop, Commercial Light Fixture",$215.00," 13,200 Lumens (Brighter than Fluorescent T8) 5000K Daylight White Color Temp.
 0 Degree 120-277V Ballast/Driver, 6 LED T8 Tubes (6 Bulbs Included)
 50,000+ Hours, 40% Less Energy than Fluorescent, Removable Lamps
 Fixture Made in USA.  UL Listed, DLC Approved.","6 Lamp T8 LED High Bay 120 Watt warehouse, shop fixture. Commercial Grade, built to last. Energy efficient LED Technology."
http://www.amazon.com/Vaporlight-Fluorescent-Vapor-Location-Fixture/dp/B008U5XOBY,Vaporlight 4' T-8 Fluorescent Vapor Proof Light and Wet Location Fixture Fits F32T8,$54.99," Polycarbonate construction (Diffuser). Non-corrosive, heat and vandal resistant
 Can operate two 32W T8 bulbs (Not included)
 Stainless steel clips
 Electronic Ballast: 110 ~ 130V  50/60Hz","This vapor light is UL listed, and IP65 rated (Wet location fixture). This fixture can be used in garages, carports, and laundry rooms. This fixture is made of Polycarbonate (Non-corrosive, Heat and vandal resistant).

Can be ceiling mounted or suspended
Dimensions: 50"" x 5-5/16"" x 3-15/16"""
http://www.amazon.com/Hanging-LED-Diffused-Natural-hanging/dp/B00LPLRBUU,4 Ft. Hanging LED Shop Light Diffused Natural Light. Includes 2- 20w LED Bulbs W/hanging Pull Switch,$49.95," Includes (2) 20W T-8 LED Tube Lights
 120 LED's per Bulb
 Natural White Day Light  3600K Lumens
 Shatterproof safety design with no Mercury!","4' White Shop Light with AC plug and Hanging Chains w/ S Hooks Includes (2) 20W T-8 LED Tube Lights Natural White Day Light 3600K Lumens 120 LED's per Bulb Diffused Lens Cover. Assembled and shipped from the USA. Great for the garage or shop 48"" L x 5"" W x 3"" H 1 Year Warranty Fixture is for LED Lighting only, fluorescent bulbs will not work"
http://www.amazon.com/Integrated-Utility-Frosted-garage-basement/dp/B00RR5KT66,2x 4ft Integrated 20w LED Utility shop light Frosted garage basement with link and Power cable,$69.99," Color Temp 6000k
 frosted 4ft Length include link cable and integrated AC input wire with ON/Off switch
 input voltage 100v-265v
 Easy installation with 2 clips","These LED tube light are a great energy efficient way to light up your basement, workshop , garage or any where that you need light. It's easy to install with simple plug-in."
http://www.amazon.com/Lithonia-Lighting-232-120-GESB/dp/B000IOFIPU,"Lithonia Lighting SB 232 120 GESB 4-Foot 2-Light T8 Fluorescent Ceiling Fixture, White",$32.97," Lamp type: T8 fluorescent
 Exudes a high light level suitable for storage rooms, offices, or retail applications
 Hinged design allows easy cleaning
 Instant-on ballast eliminates annoying flickering and humming","This wraparound Lithonia Lighting 4-foot-square two-light T8 fluorescent ceiling fixture exudes a high light level suitable for storage rooms, offices, or retail applications. Its hinged design allows easy cleaning and the instant-on ballast eliminates annoying flickering and humming. This fixture features a diffuser with side prisms to control brightness and bottom prisms to reduce lamp images. To help the environment, it is energy efficient, and it can also reduce your energy costs. For surface or stem mounting, it requires a minimum of two single stem hangers. This wraparound light is backed by a 1-year limited manufacturer's warranty. The bulb is not included."
http://www.amazon.com/Light-equivalent-flashlight-Fluorescent-Replacement/dp/B00NO4VFHQ,"5Star Lights T8 LED Light Tube 20W(60W equivalent), 6000K Daylight, ETL Listed with LED flashlight, Dual-ended Power, 4ft. 2300 Lumen Energy Saving Fluorescent Tube Replacement, (Pack of 10, Daylight White)",$190.00," Bulb Type: T8 T10 48
 High efficiency (100-120 lumen per watt). Energy Saving. High Efficient Output. Save 80% on electricity bill of lighting comparing with traditional fluorescent light
 Dual-ended Power. Not necessary to replace lampholder. Remove Starter/Bypass Ballast. Then Plug in and light on right away. No extra replacement parts needed. Replaces 60W traditional fluorescent light tube. Easy Installation. International standard shape for replacing traditional T8 T10 fluorescent tube light
 Work on all US home and office standard bi-pin lampholder. Remove Starter/Bypass Ballast. Then Plug in and light on right away. No extra replacement parts necessary. All packages includes Free Professional Grade LED Flashlight. Environmentally friendly. No buzzing ballasts. No mercury or hazardous materials.
 50K Hour LED Life. 5-Year Warranty. This limited warranty does not cover bulbs subject to accident, neglect, abuse and misuse. The light bulbs can be widely used at hospitals, medical centers, offices, warehouses, supermarkets and all kinds of locations.","•Bulb Type: T8 T10 48"" LED tube 
•LED Type: SMD2835 
•LED Quantities: 144pcs 
•Power: 20W(60W fluorescent tube light equivalent) 
•Emitted Color: Daylight White 
•Color Temperature:6000K±500K 
•Beam Angle: 140 degrees 
•Luminous Flux: 115 Lumen Per Watt 
•Input Voltage:AC100V-277V 
•Length: 4ft. 48""(120CM) 
•Protection Level: IP20 
•Frequency（Hz）: 50～60HZ 
•ETL Classified No.: 4010466. Conforms to UL 1993. Certified to CSA STD. C22.2 No. 1993 

 Work on all US home and office standard bi-pin lampholder. Remove Starter/Bypass Ballast. Then Plug in and light on right away. No extra replacement parts necessary."
http://www.amazon.com/Lithonia-Lighting-1284GRD-RE-Shoplight/dp/B00FY2QD2S,Lithonia Lighting 1284GRD RE 4-Light Heavy Duty Shoplight,$49.97," The wireguard protects the 4 fluorescent bulbs from damage
 Wireguard easily detachable without the use of tools
 Comes with 12 inch reflector
 Pull chain power switch
 5 ft. power cord and grounded convenience power outlet (max. 5A)",The 4-light heavy duty shoplight with wireguard comes fully assembled and ready to install. The wireguard protects the 4 fluorescent bulbs from damage and is easily detachable without the use of tools.
http://www.amazon.com/Ceiling-Mount-Canopy-Light-Lumens/dp/B012HK4G8W,"45 Watt Ceiling Mount Canopy Light, 4100 Lumens, 4000K, UL & DLC",$109.95," AMAZING AMOUNT OF LUMENS PER WATT: Our LED CANOPIES provide an average of 100 (yes!, 100!) lumens per watt! If you are looking for the right brightness, these are the right Canopies.
 IDEAL FOR A VARIETY OF APPLICATIONS: Ideal for Gas Stations and any other place to replace indoor / outdoor high wattage HID lamps.
 EXTREMELY LONG LIFESPAN: Our LED's will last more than 70,000 hours, around 11 years if used 12 hours a day. FACT: You will start noticing a decrease in the brightness of the bulb ONLY after 50,000 hours of use!
 AND THERE'S MORE: Universal voltage 90-277 Volts AC. Instant On. 5 Year Warranty. UL listed, DLC & RhOS. Top of the line Customer Service. SAMSUNG chips. We don't use unbranded Chinese LED chips. Our SAMSUNG LED chips are a small (but a HUGE) part of our success!","45W *HIGH LUMEN OUTPUT: 4,100 LUMEN. REPLACE UP TO 200 WATT HID. We use Original SAMSUNG LM561B LED chips for all our corn bulbs for higher lumen output durability and reliability, which translates into more security, peace of mind and economy. Illumination efficiency is 90 Lumen/Watt. *UNIVERSAL VOLTAGE 90-277 VAC. We also carry 480v. Please contact us if you need that voltage. Our LED Canopies use an internal driver allowing direct connection to the power line without the need of complicated external connections. *BEST AVAILABLE COMPONENTS IN THE ELECTRONIC INDUSTRY. All our drivers use RUBYCON capacitors, FAIRCHILD semiconductors and JAE Japanese connectors, which are known for unsurpassed quality and long life. *LARGE THERMAL SURFACE, larger than any of our competitors to eliminate heat in efficient manner, which prolongs the life of all electronic components, end result is longer life for the corn bulb. *IP65 Rating: These LED Canopies are suitable for outdoor aplications and they can stand water. *5 YEAR WARRANTY. All LEDRADIANT products carry a 5 year warranty. * COLOR TEMPERATURE: 4000K (Natural White) REPLACEMENTS: Replaces up to 200 Watt HID . APPLICATIONS: Excellent to be used in patios, Parkings, sport courts, and any place where a canopy is a good fit."
http://www.amazon.com/Heavy-Hanging-2-light-Ceiling-Fixture/dp/B00TYY8SRA,"Grey 4 ft. 48 Watt Heavy Duty Hanging Shop Light 2-light Ceiling Light Fixture with Pull Chain - 6,000 Lumens - 4500K - 2x 24W LED T8 Tubes - Replacement for (4) 32W Fluorescent Bulbs",$79.95," Includes 2 LED T8 24 watt (48w total) light bulb tubes, non-dimable, 3000 Lumen (6000 Total), instant-on
 Chain mount with 5 ft. power cord
 Durable steel housing, Fully assembled
 Energy Star qualified","This light provides widespread illumination. It comes fully assembled and is easy to install with the included chain mount. Just plug in for operation. This the perfect task lighting solution for your garage, workshop or storage area. Includes 2 LED 24 watt T8 light tubes (48w Total). These bulbs work as an Eco-friendly and cost efficient replacement for four 32 - 48 Watt (128w - 192w total) Fluorescent T8 bulbs. Very bright and energy efficient. Chip Model: SMD2835. Creates little heat and no UV or IR light radiation. Bulbs rated for 50,000 hours of use. No ballast needed."
http://www.amazon.com/Integrated-light-frosted-garage-basement/dp/B00VVZ6034,2x 4ft Integrated 20w LED tube shop light frosted garage basement with 6ft Power cable,$69.99," Color Temp 6000k
 frosted 4ft Length include link cable and integrated AC input wire with ON/Off switch
 input voltage 100v-265v
 Easy installation with 2 clips","These LED tube light are a great energy efficient way to light up your basement, workshop , garage or any where that you need light. It's easy to install with simple plug-in."
http://www.amazon.com/Linkable-Garage-Utility-Kitchen-Counter/dp/B00V58WB3U,3ft White LED Linkable Shop Garage Utility Closet Kitchen Counter Work Light,Not Found," Extra thick 16 gauge aluminium heat sink - 18-8 stainless steel mounting screws
 6ft Heavy duty grounded power cord - Double insulated power supply
 Diffused light - 50,000 hour rating, 2 year warranty - 4500k Color Temp
 Linkable up to 6 lights with no gaps in between","Clever Cottage Professional Series Linear LED lights

High efficiency LED light with 6ft power cord. Great for use in kitchens, living rooms, garages, shops, under counters, basements, utility rooms, closets, laundry rooms and more! Made from durable heavy gauge aluminium. 


Our 3ft fixture has the light output equivalent to over 3 - 60 watt incandescent light bulbs while only using 26 watts of power!


High brightness, efficient smooth flowing light, no harsh pinpoints.


*High efficiency - Real 100+ lumens/watt
 Other LED fixtures are rated as LED Lumens/watt which does not include the losses in the power supply which can be as high as 30%. That loss is generated as heat which reduces the overall efficiency. We use high efficacy LED's AND high efficiency power supplies which allows our Professional Series lights to equal or surpass the 100 lumen/watt rating as a whole. 


*4500k Color Temp
 Closer to daylight than regular warm white incandescent and fluorescent bulbs with no harsh blue tint. Instant on full brightness, no warmup needed. 


*Linkable up to 6 lights with no gaps in between
 Each light comes with an interconnect to daisy chain up to 6 units end to end and power them all with only one power cord. 


*Better heat dissipation
 High temperatures will make LEDs fail prematurely, that's why the Professional Series lights have all the LEDs soldered directly to a rigid aluminium circuit board, no cheap LED tape here. The circuit board is then bonded to an extra thick 16 gauge aluminium heat sink. This design allows efficient removal of heat away from the LEDs for longer life."
http://www.amazon.com/Industrial-Retail-Fixture-Equivalent-Fluorescent/dp/B00UIF28VG,8 ft. Industrial Retail Flush Mount 4 Light T8 Fixture w/ 4X 24W LED Tubes 96W Total 6500k Equivalent to (8) 32W Fluorescent Fixture - Options: Hardwired / Plugin / Pull Chain / Wireless Remote Control - 30% Brighter Than 18W LED Bulbs (Hardwired),$124.99," 4X 24 Watt LED Bulbs (96 Watt Total)
 3000 Lumen (12000 Total)
 6500 Kelvin
 Choose between various options
 Choose hardwired or plugin / add a pull chain or wireless remote",This 8 ft. flush mount ceiling fixture comes with 4 LED T8 24 Watt Bulbs included (96 Watt Total). These LEDs are 30% brighter than the standard 18 Watt LED bulbs.These bulbs work as an Eco-friendly and cost efficient replacement for (8) 32-48 Watt (256w- 384w Total) Fluorescent T8 bulbs. This fixture requires no modifications at all. All of the necessary conversions have been completed. No ballast to replace!!!
http://www.amazon.com/LEDwholesalers-Aluminum-Utility-40-Watt-1925/dp/B012X0RJ1C,"LEDwholesalers 4-ft Aluminum LED Utility Shop Light with Power Cord 40-Watt,1925",$49.99," Elegant, low profile design
 Surface mount installation
 Ideal for use in garages, basements, game rooms, or utility rooms
 Long LED lifespan of ~35,000 hours, 1-year warranty","This 4ft LED shop light does not require regular lamp replacements and lasts up to 35,000 hours. Common installations include: garages, basements, game rooms, or utility rooms. With its elegant and low profile design, this light may also be used in reading rooms, kitchens, etc. 


Specifications
 * Light Source: LED 
 * Input Voltage: 100-240VAC, 50/60Hz 
 * Power: 40W 
 * Beam Angle: 130º 
 * Color Temperature: White (5000-6500K) 
 * Light Output (lumen): 3120 
 * CRI: 80 
 * Power Cord Length: 76"" 
 * Installation Area: Indoor 
 * Operating Temperature: -20~40°C 
 * Operating Humidity: 10-90% 
 * LED Lifespan: 35,000 hours 
 * IP Rating: IP40 
 * Certification: CE 
 * Dimensions (LxWxH): 47.24"" x 2.95"" x 0.94"" (1200x75x24mm)"
http://www.amazon.com/Lithonia-Lighting-240-120-2INKO/dp/B000IOAFU8,"Lithonia Lighting C 240 120 MBE 2INKO 4-Foot 2-Light T12 Fluorescent Ceiling Fixture, White",$30.98," Ideal for a garage, warehouse, or a retail or light-industrial space
 Metal housing with high-gloss, baked-enamel finish; 120-volt residential magnetic ballast
 Works with 2 40-watt T12 fluorescent bulbs (not included)
 Measures approximately 48 inches long by 5 inches wide by 5 inches high",For applications that require low- to medium-illumination levels. Suitable for general purpose applications. This four-foot fluorescent fixture has a 120-volt residential magnetic ballast and uses two 40-watt T12 lamps. Housing is white enamel steel.
http://www.amazon.com/GE-18-Inch-Fluorescent-Fixture-16466/dp/B000HJ75PW,GE 18-Inch Basic Fluorescent Light Fixture 16466,$12.97," 18"" Length
 Plug-In
 Lightweight plastic housing
 Installation Hardware and Bulb Included
 UL Listed","GE basic fluorescent light fixture is ideal for utility room, workshop or garage."
http://www.amazon.com/85-250V-6000K-7000K-Bulb-White-Light/dp/B008AGMM48,AC 85-250V 6000K-7000K 5 x 1W E27 LED Bulb Lamp White Light,$13.34," Product Name : LED Bulb;Type : E27 Screw Base;Voltage : AC 85-250V
 Power : 5 x 1W(Each LED 1W);LED Number : 5;Light Color : White
 Color Temperature : 6000K-7000K;Lumens : 400-500lm
 Material : Aluminum, Metal;Overall Size : 113 x 59mm / 4.4"" x 2.3"" (L*Dia.)
 Weight : 125g;Package Content : 1 x LED Bulb","It features aluminum construction with 5 white light LEDs. E27 screw base of this white Light Bulb for easy installation. It is an ideal replacement for your dameged E27 LED Light Bulb. Great for hallways, bathrooms, bedrooms, garage, shops and kitchens."
